Plate,Sample Name,Group,treatment ,E2 effect,age effect,duration effect,timing effect,Raw18S_Ct,Raw GAPDH_Ct,Ar-Rn00560747_m1,Arntl-Rn00577590_m1,Avp-Rn00566449_m1,Avpr1a-Rn00583910_m1,Bdnf-Rn02531967_s1,Clock-Rn00573120_m1,Crh-Rn01462137_m1,Cry1-Rn01503063_m1,Cry2-Rn01485701_m1,Cyp19a1;LOC100359906-Rn00567222_m1,Dbh-Rn00565819_m1,Dbp-Rn00497539_m1,Drd1a-Rn03062203_s1,Drd2-Rn00561126_m1,Esr1-Rn01640372_m1,Esr2-Rn00562610_m1,Gapdh-Rn01775763_g1,Gh1-Rn01495894_g1,Ghrh-Rn00580832_m1,Gper-Rn01643280_s1,Grin1-Rn01436038_m1,Grin2a-Rn00561341_m1,Grin2b-Rn00680474_m1,Hcrt-Rn00565995_m1,Igf1-Rn00710306_m1,Igf1r-Rn00583837_m1,Kiss1-Rn00710914_m1,Kiss1r-Rn00576940_m1,Lepr-Rn01433205_m1,Mtnr1a-Rn01488022_m1,Mtnr1b-Rn01447987_m1,Nkx2-1-Rn01512482_m1,Npvf-Rn00576645_m1,Npy-Rn01410145_m1,Nr3c1-Rn00561369_m1,Nr5a1-Rn00584298_m1,Oxt-Rn00564446_g1,Oxtr-Rn00563503_m1,Pdyn-Rn00571351_m1,Per1-Rn01496757_m1,Per2-Rn01427704_m1,Pgr-Rn01448227_m1,Pomc-Rn00595020_m1,Slc17a6-Rn00584780_m1,Tac2-Rn00569758_m1,Tacr3-Rn00566955_m1,Trh-Rn00564880_m1,,ABV ID,Pitutary weight,Pit index,Body Weight (g),Adrenal Weight (g),Ad index,Uterus Size (mm),E2 RIA,LH,FSH,GH,TSH,PRL,BDNF,ACTH,Note
7,ABV64,MA-VEH 6mo,5,1,3,2,,9.2510004044,21.2509994507,1.2574500386,1.7271574429,0.808376939,1.6276616674,1.0564324035,1.2640913459,0.5979515155,1.198973454,1.3728750591,1.9530107136,,1.2765941806,1.3900144202,0.7671600946,1.4890590817,0.8660967831,1.4939179307,1.1445644919,,1.313393827,1.301071271,1.5792064748,1.0828253354,0.676611567,1.0719221831,1.221708815,,1.2027195688,3.5677144079,1.2842274876,,3.5716758707,,4.0230785955,1.579097494,10.8784438305,0.6784901787,2.786589812,2.6240580586,1.0964192973,1.3642418475,1.2871687981,43.7739108585,1.5230884054,3.9057534224,1.9660504084,0.7486691573,,ABV64,0.0112,2.7791563275,403,0.0436,10.8188585608,2,16.6445836233,26.12307,43.953675,1172.307,6.303319,1.675207,3.761975,0.015849,
7,ABV65,MA-VEH 6mo,5,1,3,2,,8.7650003433,21.4869995117,1.0529964414,0.9995842283,0.579588361,0.9322572338,1.0282570056,0.884601395,1.3150334931,0.8698269857,0.823135232,1.3469539845,,0.7617022894,0.591766322,1.1515683356,1.8168001697,1.4779526639,0.9056972441,0.4018699015,1.6073688864,0.8084893776,0.9289674371,0.9567409387,1.0671778591,0.6855818175,0.8259925792,0.8999398517,1.5799735198,1.0148731801,1.1235001496,0.4373620443,,1.8070036909,,1.8053765652,0.8839890188,2.1058472701,1.2582342903,0.8441089227,1.0524857896,0.686247521,0.6364419992,0.7961987249,7.3768302683,1.077733923,1.008771799,1.0712542005,1.3053170546,,ABV65,0.0092,2.0720720721,444,0.0571,12.8603603604,3.15,9.8948267626,17.087177,43.160358,3225.228,8.377737,2.980375,3.907884,0.012215,
7,ABV66,MA-VEH 6mo,5,1,3,2,,8.3350000381,21.1809997559,0.6330974111,0.7575433875,0.9025635788,0.6707279421,0.648060557,0.7130625327,0.9890396379,0.7801377472,0.745975042,0.5932450245,,0.8617256549,0.8421214846,0.7237683615,0.5156272127,0.4188773613,0.8311035961,0.322595695,0.6433608304,0.701394923,0.6758150099,0.5031987319,0.6767989075,0.9027510587,0.6639747074,0.7971368575,0.0708985405,0.6714261787,0.2808746661,1.2422025615,,0.3767293457,,0.6422917024,0.7438583387,0.0412746149,1.3189587736,0.5275938584,0.3424107534,0.7390784335,0.9402398117,0.4938686795,0.0547119687,0.4277972018,0.5769827505,0.4844099498,0.9575367536,,ABV66,0.0103,2.5944584383,397,0.0391,9.8488664987,1.46,20.8823670421,18.664584,23.243279,2385.758,4.208703,5.392662,3.508161,0.024619,
2,ABV09,MA-E2 6mo,6,2,3,2,,8.998000145,21.5489997864,1.8144098886,1.0877897857,0.2161493186,0.863818058,1.3362586186,1.0681399533,3.4896938884,1.0835755971,1.0564321242,4.0130508057,,0.9796239882,0.7443746246,1.1294341408,1.5035792763,1.5048305469,1.0196685705,0.1458745935,2.937726306,0.9762347983,1.2480714489,2.1798063323,1.5419978754,0.9307069144,1.6878643419,1.3166759025,1.4388339941,0.8399065055,2.5122840914,1.0866607147,,1.4728386351,,0.0254586383,1.13453338,10.8709102196,0.6022352054,2.9109708198,2.2389146765,0.7238690318,0.7160335625,3.2788735907,8.2363179888,1.6166418787,2.7237615599,0.6994540021,0.6178805218,,ABV09,0.0101,4.0079365079,252,0.0429,17.0238095238,3.1,55.8877229235,1.031382,17.098,4025.748,1.484927,14.058066,2.114973,0.002044,
2,ABV10,MA-E2 6mo,6,2,3,2,,8.8190002441,21.4570007324,1.0442741276,0.7617559658,,0.3828365688,1.6303716416,1.0175502494,3.0654508264,0.6824526916,0.9461892231,1.0656253203,,0.7622306579,0.5362955747,1.4256300343,0.6799023799,1.3496641931,0.9599954366,0.5577919633,0.8512768429,1.0106617777,1.0708087326,1.4501475155,1.2568389075,0.8347408018,2.0239856192,0.9834337632,1.5346393029,1.1213988621,0.5640902767,0.643003605,,1.0342608565,,0.5166647755,0.7485131818,0.0680812599,,1.0625279987,2.4012745021,0.8401971521,0.7022712079,2.0968167434,0.0430154638,1.2175665949,0.8879810463,2.5960179071,1.573960981,,ABV10,0.0102,3.6170212766,282,0.0593,21.0283687943,3.3,64.1576658622,1.315239,17.379039,4533.345,2.718553,41.970846,2.80108,0.030788,
2,ABV11,MA-E2 6mo,6,2,3,2,,9.0850000381,21.7779998779,1.399101286,0.9083999648,1.103509826,1.1032807992,1.3766868461,1.1440100391,1.8013768392,0.9092819056,1.0513187211,1.2403102879,,1.1323340579,0.8334103835,1.0804265302,0.8481555153,1.1208551867,0.924086688,3.3260277846,1.8747513677,0.9469101592,1.0641496024,1.3824241968,1.3093045526,1.0683616854,1.7902982474,1.276240477,0.6915478308,0.8563666544,1.2302904306,0.6953921312,,0.9244071982,,0.7276411112,0.8815416526,2.500817879,2.201367165,1.6149617509,0.9820037052,0.9011258979,0.9856173516,2.7098268387,3.4295031762,1.0912643993,0.9457950116,0.7538246578,1.8952660457,,ABV11,0.0143,5.1438848921,278,0.0612,22.0143884892,3.45,60.8568019512,2.760713,14.288836,25823.871,3.237166,41.2447,2.419412,0.021085,
2,ABV12,MA-E2 6mo,6,2,3,2,,9.2840003967,21.6830005646,1.3135761619,0.9262030332,0.9808472289,0.7943243005,1.8457405985,1.0763142901,2.7228164581,1.0358393196,1.1051174136,2.2496511311,,1.2169759738,0.6916436537,1.1131138751,1.6869302796,1.9326764655,1.1329622356,0.6596623326,1.4129390991,1.091491076,1.2804937663,1.6902074592,1.2939658695,1.2918148921,2.4987384423,1.2647924505,3.465109043,1.0183966453,1.8100117819,2.1538236344,,1.2514491922,,0.4695334826,1.095888312,2.1967956544,2.4544509455,1.6580655651,1.0731112723,1.1186819364,1.0021515398,3.0998533283,1.5083812054,1.5083808066,1.8942164562,0.974882485,1.6059210982,,ABV12,0.0138,4.380952381,315,0.054,17.1428571429,3.05,43.0618382769,2.58462,13.914218,11758.893,3.442784,61.667666,2.333179,0.029514,
5,ABV50,MA-E2 6mo,6,2,3,2,,8.2100000381,20.625,1.1192248536,0.910921896,0.2651903658,0.9611280898,0.8509818009,0.9653344566,0.315147412,0.6982429164,1.071179707,0.8081533909,,0.8434067094,0.6816485369,0.7472171515,0.6299895783,0.5364814416,1.1204668603,2.8934686378,5.6400188245,0.8914955888,0.8825197849,1.0505905161,0.8868736214,0.5673850473,1.3307139203,0.8315645521,1.592065905,0.8277693521,3.344984954,0.4343414693,,3.0242962823,,1.5076479204,1.1104164351,7.8375389892,0.0749670447,2.3742959131,1.3461137223,0.9111745943,0.7663634158,2.2598070989,12.3206017268,1.3213381855,0.9543563247,1.4204031347,0.2514599981,,ABV50,,,349,0.0669,19.1690544413,3.35,70.9246013235,14.509628,12.118186,50000,14.419647,,2.186032,0.382432,"Can't find capsule, E2 level is low"
5,ABV51,MA-E2 6mo,6,2,3,2,,8.1859998703,20.8449993134,1.2367029421,1.0609822246,0.7397449314,0.6867229134,0.9707682373,1.1543655898,1.5801909831,0.8783088903,0.7408220985,0.5114621196,,0.674691504,0.5377841015,1.1317853802,0.7337696718,1.0804261017,0.9461235514,0.2893323419,0.7452001664,0.7940488926,1.0123446122,1.0936863996,1.1501327922,1.5087976499,3.6130031893,1.280670518,0.5675813889,1.1820563162,0.705637375,2.1763347247,,0.6468930428,,0.6234299582,0.9228068561,0.881114148,1.9963975577,1.0370604976,0.6679447218,0.9296764804,1.028185366,2.3346406594,0.2814594984,0.9780633002,1.008771799,0.722615481,1.5150867751,,ABV51,0.01,3.3333333333,300,0.0602,20.0666666667,4.2,,0.159049,9.497299,6325.06,2.296774,28.409596,1.429971,,
6,ABV52,MA-E2 6mo,6,2,3,2,,8.1470003128,20.7099990845,0.9865750433,0.9662043527,3.0253444292,0.6619529169,1.124435269,0.8981950578,3.2492344589,0.8183563093,0.7874172868,2.0120986478,,0.4488485241,0.5852401522,0.7708914072,1.0449250104,1.410885223,1.0112229908,0.1693170058,0.3780633253,0.7787865479,0.9623946497,1.1338274297,1.0926270437,0.6990175735,3.3154389423,0.7264324076,1.0584119563,0.8073686838,0.5183509439,0.775876854,,0.7805705392,,0.1406616138,0.6722640446,0.2078189757,1.3835739111,1.0946738394,0.8367099362,0.7099556081,0.616041763,2.6836578074,0.0427479598,0.7884006264,1.2902058821,1.5826043049,0.6975656688,,ABV52,0.0127,4.3344709898,293,0.0576,19.6587030717,3.6,76.2118136486,0.319989,14.414932,22004.19,1.556367,71.408855,3.225995,0.015849,
